Symbol,Centrality
MTD,0.37474786731467263
PKI,0.6687553453589785
TMO,0.35439014112682965
AAL,0.3012614034751372
AMAT,0.35660688136896596
HPE,0.4213231228972708
KLAC,0.4609899299367926
URI,0.7597479166243759
AAPL,0.34913299713021917
ADSK,0.5368583604796524
APH,0.6598119257546535
AVGO,0.31062962355591334
CDNS,0.41283585140244206
LVS,0.3994431279465739
MAR,0.32943411561625485
MCHP,0.44674697125395574
MSFT,0.43810782101101275
NCLH,0.3405314174004749
QRVO,0.32628033824572505
SNPS,0.450044671915855
SWKS,0.3447484041803782
V,0.46980681732415475
ABT,0.32911046721478726
ALGN,0.3124794992577607
ANSS,0.7543917456188161
BAX,0.3718078150606519
HOLX,0.3194030158868234
MA,0.5363781351945984
VAR,0.3333453934368844
ACN,0.38876768773275927
ADBE,0.39995600088025995
ADP,0.4786617139966811
AKAM,0.3322504238148122
AME,0.7538519748532762
EFX,0.43283871618579695
GPN,0.3920347184813362
INFO,0.5217155834373741
JKHY,0.3689388807183809
MCO,0.6459220313349738
MSCI,0.5198252987415701
PYPL,0.36757874076904506
SPGI,0.4851436437518526
TYL,0.3346323074989967
VRSK,0.47702424275957056
VRSN,0.41843231699946315
AMZN,0.31413832568290406
CRM,0.43853393494239445
CSCO,0.4848052102883879
INTU,0.31254329295833744
IQV,0.32447562111262496
IT,0.3623295365532632
NOW,0.30115184703866027
ORCL,0.5287806536063976
PAYC,0.31733566794984264
PAYX,0.47142408484082376
ADI,0.4475159284376935
BLK,0.8171106329772855
CE,0.5775981472924399
EMN,0.7118915884880022
EMR,0.8053654032452779
FLIR,0.3823083506956541
FTV,0.5823759044870491
IPGP,0.6232135285392232
MU,0.3852739141680915
MXIM,0.47185895203108663
NVDA,0.3497848017250098
PH,0.9108920489237703
PWR,0.5863554359812206
STX,0.3773194268270793
TEL,0.4273632728841748
TXN,0.45582118337768773
TXT,0.6473566332766238
WDC,0.3932878578927702
AXP,0.6596667864962074
CTAS,0.6574782577379823
FISV,0.3004365339591839
HON,0.6699857375923413
NTAP,0.37141215787031245
RHI,0.3857708956902684
RJF,0.6943983656008272
ROP,0.5829884329995547
ECL,0.5337273950355135
FLS,0.6753633434123293
ITW,0.6632316619419241
AFL,0.3656425875024396
ALL,0.31467160836463737
GL,0.6124604138080234
HIG,0.36854229872891486
IVZ,0.5601292322771516
LNC,0.7779449807998964
MET,0.5599828106624133
NTRS,0.6193008743616664
PFG,0.5907218028235818
PRU,0.8105851625003693
UNM,0.5842346822575367
DFS,0.6994325061805646
AMP,0.6097143835736654
APD,0.3289463682202644
AVY,0.3860857820249276
BWA,0.5130671762567067
CBRE,0.39022259011710214
CF,0.35047386593532237
CMI,0.6649732875543777
CSX,0.4233307522721481
DOV,0.44618566225663603
ETN,0.6745700368616889
EXPD,0.5146731631367852
FAST,0.4333398525104561
GD,0.4300938082769462
GLW,0.3776435418925644
HAL,0.4405636082239722
IEX,0.6598758596003249
J,0.4383781781757402
KSU,0.357096721744384
MMM,0.33519068008283015
MOS,0.39837346008922875
NKE,0.40261379136841835
NSC,0.4348166258591536
NUE,0.4682253724737022
ODFL,0.3405888584916693
PCAR,0.4591372043824623
PNR,0.30966425046181134
PPG,0.3852992471898574
ROK,0.5070378648460054
RTX,0.4840252494897507
SWK,0.3599404853074981
TDG,0.36101456970679974
TDY,0.3774450649448906
UNP,0.3124578685452775
UPS,0.3256055325050023
XRX,0.3554044509474372
XYL,0.461074005171789
APTV,0.36518325508333843
BAC,0.5099438574262727
BEN,0.3592185632053417
C,0.6655949428454064
CFG,0.5395279367127789
CMA,0.44868806835015956
COF,0.4824437927572418
ETFC,0.501426348745233
FBHS,0.33213615645677846
JPM,0.5454238091950109
KEY,0.44640981543524005
MS,0.5467458986335921
PBCT,0.4980734331389972
PNC,0.5051415726828321
RF,0.4767837068515026
SCHW,0.501174746040508
SIVB,0.6092689078846119
STT,0.49322857359564165
TFC,0.44868806835015956
TROW,0.4802340282682179
USB,0.5722653348947893
ZION,0.4822629656605951
DXC,0.3416056533945828
ZBRA,0.30149328129451314
AOS,0.31561942940688437
APA,0.3121426188714321
FTI,0.3300922632772478
HES,0.3034162797348481
PSX,0.33606169766105815
SLB,0.32048116758172207
XOM,0.32160902971595184
GM,0.35653927560240667
FITB,0.439470359831159
GS,0.49320233956509657
HBAN,0.4352387717965785
MTB,0.43700597050016743
WFC,0.3893071758945823
DE,0.3501413555499811
WHR,0.3360679676822409
STE,0.30698545756275997
